2026-05-01 11:14:22,602 | INFO | HMMStockPredictor | Training HMM with 79 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,603 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,604 | INFO | HMMStockPredictor | Training finished. LogLik=596.70 Samples=79
2026-05-01 11:14:22,612 | INFO | model.evaluation | Evaluation completed: regimes=2 accuracy_points=75 loglike_points=75
2026-05-01 11:14:22,614 | INFO | HMMStockPredictor | Training HMM with 60 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,615 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,615 | INFO | HMMStockPredictor | Training finished. LogLik=-78.69 Samples=60
2026-05-01 11:14:22,615 | INFO | HMMStockPredictor | Fine-tuning with 30 new samples retain_history=True
2026-05-01 11:14:22,616 | INFO | HMMStockPredictor | Training HMM with 90 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,617 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,617 | INFO | HMMStockPredictor | Training finished. LogLik=-112.18 Samples=90
2026-05-01 11:14:22,619 | INFO | HMMStockPredictor | Training HMM with 60 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,620 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,620 | INFO | HMMStockPredictor | Training finished. LogLik=-78.69 Samples=60
2026-05-01 11:14:22,621 | INFO | HMMStockPredictor | Saved HMM model to /tmp/tmpfgre4ebj/model.pkl
2026-05-01 11:14:22,622 | INFO | HMMStockPredictor | Loaded HMM model from /tmp/tmpfgre4ebj/model.pkl
2026-05-01 11:14:22,623 | INFO | HMMStockPredictor | Training HMM with 60 samples and config=HMMConfig(n_hidden_states=2, n_iter=50, covariance_type='diag', random_state=7)
2026-05-01 11:14:22,624 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 2 states
2026-05-01 11:14:22,625 | INFO | HMMStockPredictor | Training finished. LogLik=-78.69 Samples=60
